納品データ,member_ id,種別,ニックネーム,スレッドURL,スレッドタイトル,スレッド本文,ルーム,テンション,タグ1,タグ2,タグ3,タグ4,タグ5,投稿日時
0320-0326,,,ヤマトタケルXYZ,,Lil Boosieのオススメの曲を教えてください。,"最近ヒップホップに興味を持ち始めて、Lil Boosieが好きになりました。
オススメの曲を教えてください。",Lil Boosie,みんなでわいわい,歌手,,,,,2014/4/29 4:54
0320-0326,,,アレグロ♪,,Linkin Parkの来日はないのかな？,"Linkin Park、生で聴いてみたいです。
来日とか、ライブってないのかなあ？　会ってみたい。",Linkin Park,ゆるーくおしゃべり,ロック,,,,,2014/4/29 14:42
0320-0326,,,レオレオ,,Linkin Parkの大好きな曲を教えてー！,Linkin Parkの大好きな曲を教えてくださいー！その曲をぜひ私も聴いてみたい！,Linkin Park,みんなでわいわい,ロック,,,,,2014/4/30 1:15
0320-0326,,,レオレオ,,Linkin Parkの新要素について,Linkin Parkのミュージックセンスについて、あなたはどのように感じておりますか？,Linkin Park,ご意見求む,ロック,,,,,2014/4/29 14:05
0320-0326,,,レオレオ,,Lloyd Banksのヒップホップの実力について,Lloyd Banksのヒップホップの実力について皆さんはどう思いますか？,Lloyd Banks,みんなでわいわい,歌手,,,,,2014/4/30 0:10
0320-0326,,,レオレオ,,LOCAL NATIVESを知ったきっかけって？,LOCAL NATIVESを知ったきっかけってなんですか？この曲を聴いたから！とか。,LOCAL NATIVES,みんなでわいわい,歌手,,,,,2014/4/29 2:59
0320-0326,,,19みつき28,,Luke Bryanのオススメ曲ありますか～？？,"私はカントリーってあんまり聞かないんですけど、Luke Bryanってアーティスト気になってます♪
カントリー初心者でも聴きやすいLuke Bryanのオススメあったら教えて下さい☆",Luke Bryan,みんなでわいわい,歌手,,,,,2014/4/28 7:16
0320-0326,,,19みつき28,,MARIOと言えばLet Me Love Youですよね？？,"MARIOと言えばLet Me Love youだと思うんですけど、みなさんのお気に入りってありますか～？
Ne-yoのイメージが強くて最近の曲とか知らないなぁ～。",MARIO,みんなでわいわい,歌手,,,,,2014/4/30 4:05
0320-0326,,,アレグロ♪,,Mallon5 カッコいいです！,"グラミー賞を獲得してるアーティストです。
でもあまり詳しく知らない。知ってること、教えてほしいです！",Maroon 5,みんなでわいわい,歌手,,,,,2014/4/28 19:05
0320-0326,,,レオレオ,,Maroon 5のアダムさんの彼女について,Maroon 5のアダムさんの彼女について。今後の恋愛とかどうなると思いますか？,Maroon 5,ご意見求む,オルタナ,,,,,2014/4/30 1:07
0320-0326,,,レオレオ,,Marvin Gayeのソロシンガーとしての実力,Marvin Gayeのソロシンガーとしての実力はどんなものだと思いますか？,Marvin Gaye,みんなでわいわい,歌手,,,,,2014/4/28 4:12
0320-0326,,,きみどりみどろ,,MATZKAの不思議な日本語が入っている歌詞,MATZKAのレゲエ（？）音楽は、台湾原住民音楽という事で日本語が使われてますね。面白い歌詞を検証しましょう！,MATZKA,みんなでわいわい,レゲエ,,,,,2014/4/30 4:31
0320-0326,,,19みつき28,,MAVADOの好きな曲教えて～♪♪,"私はNicki MinajがヒューチャリングしているGive It All To Meが好きです♪
みなさんのオススメとか好きな曲はどれですかー？？",MAVADO,みんなでわいわい,歌手,,,,,2014/4/28 1:43
0320-0326,,,19みつき28,,Metisって鈴木明子選手と交流があるの？？,"フィギュアスケートの鈴木明子選手とMetisと交流があるって本当ですか？
Mwtisと言えば母賛歌ですけど、鈴木選手もたくさん聴いていたんでしょうか(*^^*)",Metis,みんなでわいわい,歌手,,,,,2014/4/29 21:59
0320-0326,,,レオレオ,,Michael Jacksonのコピーってどれくらいいる？,Michael Jacksonのコピーってどれくらいいるのでしょうか？マネしている人とか,Michael Jackson,今すぐ教えて！,洋楽POPS,,,,,2014/4/29 9:46
0320-0326,,,レオレオ,,Michael Jacksonのマイナーな曲ってなんですか？,Michael Jacksonのマイナーな曲ってなんですか？有名なとｌころは知っているのですが,Michael Jackson,今すぐ教えて！,洋楽POPS,,,,,2014/4/30 5:41
0320-0326,,,レオレオ,,Michael Jacksonの有名なダンスってどれですか？,Michael Jacksonの有名なダンスってどれですか？一番有名なものを教えて！,Michael Jackson,今すぐ教えて！,洋楽POPS,,,,,2014/4/27 22:06
0320-0326,,,レオレオ,,Michael Jacksonのあの細さを維持する方法とは？,Michael Jacksonのあの細さを維持する方法とはなんですか？すごい細いですよね！,Michael Jackson,今すぐ教えて！,洋楽POPS,,,,,2014/4/27 20:57
0320-0326,,,レオレオ,,Michelle Williamsの髪型はどれが良いですか？,Michelle Williamsの髪型はどれが良いですか？ロングですか？ショートですか？,Michelle Williams,みんなでわいわい,ファッション,,,,,2014/4/28 16:02
0320-0326,,,レオレオ,,miwaとコラボしたら面白そうなアーティストは,"もしコラボするならだれとしてほしいですか？想像ですけど、してほしい
アーティスト挙げていきましょう！",miwa,みんなでわいわい,J-POP,,,,,2014/4/29 13:36
0320-0326,,,レオレオ,,miwaの新曲いつ発売？,"新曲はいつ発売するのでしょうか？そろそろ出そうですよね。
教えてください！",miwa,今すぐ教えて！,J-POP,,,,,2014/4/28 2:36
0320-0326,,,レオレオ,,miwaはアイドルじゃないですよね,"アイドルっぽいPOP見かけるんですが、アイドルではないですよね？
みなさんはどんな認識ですか？",miwa,ご意見求む,J-POP,,,,,2014/4/28 14:30
0320-0326,,,アレグロ♪,,miwa 主演女優になるらしい。,"早速、女優デビューなのかあ。
ファンの皆さんは、この話題、嬉しいですか？
ちょっと早い気もしないでもないけど・・・",miwa,みんなでわいわい,J-POP,,,,,2014/4/29 12:17
0320-0326,,,レオレオ,,miwaさんの曲はどんなときに聴く？,miwaさんの曲はどんなときに聴きますか？つらいときとかですか？,miwa,ご意見求む,J-POP,,,,,2014/4/28 23:26
0320-0326,,,レオレオ,,MODESELEKTORのジャンルを定義しよう！,MODESELEKTORのジャンルって難しいですよね？彼らの定義してみましょう！,MODESELEKTOR,みんなでわいわい,歌手,,,,,2014/4/29 11:36
0320-0326,,,アレグロ♪,,沖縄出身の３人組　MONGOL800,"MONGOL800　明るくてカッコいい音が好きです。
皆さんイチオシンの曲はどれですか？",MONGOL800 ,みんなでわいわい,J-POP,,,,,2014/4/28 8:49
0320-0326,,,レオレオ,,Mos Defが似合うメガネってどれだと思いますか？,Mos Defが似合うメガネってどれだと思いますか？細い系とか大きめとか！,Mos Def,みんなでわいわい,歌手,,,,,2014/4/29 14:17
0320-0326,,,NYAH☆,,これこそ破天荒、モトリー・クルー,ゴシップネタ満載のモトリー・クルーについて、いろんなエピソードを話しませんか？,Motley Crue,みんなでわいわい,メタル,,,,,2014/4/27 19:32
0320-0326,,,アレグロ♪,,ミスチルの魅力を語ってください！,"ミスチルの魅力は何ですか？
歌詞？メンバー？曲？　ずっと語り継がれる秘密が知りたいです。",Mr. Children,ゆるーくおしゃべり,J-POP,,,,,2014/4/30 7:56
0320-0326,,,19みつき28,,NATURAL WEAPONのオススメ知りたい♪,"NATURAL WEAPONってよく知らないんですけど、オススメとかありますか～？
初心者にも聴きやすい感じの曲あったら教えてください☆",NATURAL WEAPON,みんなでわいわい,歌手,,,,,2014/4/29 2:04
0320-0326,,,レオレオ,,Naughty Boyを知ったきっかけって？,Naughty Boyを知ったきっかけってなんですかー！？皆さんの思い出を聞かせて！,Naughty Boy,みんなでわいわい,歌手,,,,,2014/4/27 20:25
0320-0326,,,NYAH☆,,New Found Gloryの新曲はいつになるのか？,New Found Glory、そろそろ新曲が出てもいい頃ですよね。待ちきれない方、いろいろ語りませんか？,New Found Glory,みんなでわいわい,パンク,,,,,2014/4/28 17:15
0320-0326,,,レオレオ,,Nile Rodgersの学歴について語り合いましょうー！,Nile Rodgersの学歴について語り合いましょうー！生い立ちとかでもＯＫです！,Nile Rodgers,みんなでわいわい,歌手,,,,,2014/4/28 9:39
0320-0326,,,レオレオ,,Nirvanaの曲で心に響いた曲！,Nirvanaの曲で心に響いた曲をみんなで語り合いましょう！どんな曲がお好きですかー！？,Nirvana,みんなでわいわい,オルタナ,,,,,2014/4/29 0:16
0320-0326,,,レオレオ,,Nirvanaってどういう意味なんですかー？,Nirvanaってどういう意味なんですかー？由来とかあればぜひ教えてくださいー！,Nirvana,今すぐ教えて！,オルタナ,,,,,2014/4/29 14:57
0320-0326,,,レオレオ,,Nirvanaの名前の由来はなんで？,Nirvanaの名前の由来はなんで仏教用語にしたのでしょうか？もともと仏教とか？,Nirvana,ご意見求む,オルタナ,,,,,2014/4/29 1:19
0320-0326,,,NYAH☆,,NO DOUBT FLASHの歌詞が好き！,NO DOUBT FLASHはせつない歌詞がいいですよね。お気に入りの曲にとかわいわいかたりましょ。,NO DOUBT FLASH,みんなでわいわい,ヒップホップ,,,,,2014/4/27 20:06
0320-0326,,,レオレオ,,N'夙川BOYSの曲でよかった曲ってなんですか？,N'夙川BOYSの曲でよかった曲ってなんですか？皆さんのをぜひ教えてくださいー！,N'夙川BOYS,みんなでわいわい,歌手,,,,,2014/4/29 18:16
0320-0326,,,NYAH☆,,Obie Triceの好きなアルバムは？,EMINEMからObie Triceを知りました。オススメのアルバムとか彼の魅力について話しませんか？,Obie Trice,みんなでわいわい,ヒップホップ,,,,,2014/4/28 3:49
0320-0326,,,レオレオ,,Otis Reddingの歌声についてどう思いますか？,Otis Reddingの歌声についてどう思いますか？皆さんの思うところを教えてくださいー！,Otis Redding,みんなでわいわい,歌手,,,,,2014/4/29 22:22
0320-0326,,,NYAH☆,,OZROSAURUSのイチオシアルバム,私は「Rollin' 045  」しか聞いたことがなくて・・・みなさんのイチオシアルバム教えて下さい！,OZROSAURUS,みんなでわいわい,ヒップホップ,,,,,2014/4/29 18:46
0320-0326,,,レオレオ,,Panteraが解散してからも活動してほしい！,Panteraが解散してからも活動してほしいと心から願うわけですがもしこれから活動していくならばどんな活動をしたら彼らにとってふさわしいと思いますか？,Pantera,みんなでわいわい,歌手,,,,,2014/4/29 21:43
0320-0326,,,NYAH☆,,パラモアのここが好き！,パラモア好きな方、どんな所が好きですか？みんなで話しましょう。,Paramore,みんなでわいわい,ロック,,,,,2014/4/30 1:50
0320-0326,,,レオレオ,,Pharrellの似合う服装ってどんな？,Pharrellの似合う服装ってどんな服装だと皆さんは思いますかー！？,Pharrell,みんなでわいわい,歌手,,,,,2014/4/29 23:26
0320-0326,,,レオレオ,,PHUNK INVESTIGATIONのカッコイイ画像,PHUNK INVESTIGATIONのカッコイイ画像ってどの画像ですか？ジャケットとか！,PHUNK INVESTIGATION,みんなでわいわい,歌手,,,,,2014/4/28 11:14
0320-0326,,,きみどりみどろ,,昨年のポーター･ロビンソンの来日公演に行った！という方。,昨年フジロックのために来日し、その後10月にもイベントのために来日してライブをやったそうですが、ライブのようすについて知りたいです！行った方、どうでしたか？,PORTER ROBINSON,みんなでわいわい,レゲエ,,,,,2014/4/29 1:32
0320-0326,,,NYAH☆,,プリンスのアルバムどれが好き？,今までたくさんのアルバムが出てますが、お気に入りの１枚は何ですか？,PRINCE,みんなでわいわい,ロック,,,,,2014/4/28 3:53
0320-0326,,,NYAH☆,,QUATTROの魅力とは？,QUATTROの音、何だかおしゃれで聴いてて心地よいですよね♪みんなで魅力を語りませんか？,QUATTRO,みんなでわいわい,ロック,,,,,2014/4/28 1:28
0320-0326,,,NYAH☆,,Ray Foxxの代表曲と言えば？,これを聞けばRay Foxxが分かるよーという１曲をどんどんあげていきましょう☆,Ray Foxx,みんなでわいわい,ロック,,,,,2014/4/28 12:13
0320-0326,,,レオレオ,,Rick Rossの好きな曲を教えてください！,Rick Rossの好きな曲を教えてください！好きな曲をみんなで語り合いましょうー！,Rick Ross,みんなでわいわい,歌手,,,,,2014/4/29 9:12
0320-0326,,,NYAH☆,,RIDDIM HUNTERの活動に詳しい方,オムニバスでRIDDIM HUNTERを知って興味があるんですけど、どの辺を拠点に活動されているんでしょう？情報をどんどん下さい。,RIDDIM HUNTER,みんなでわいわい,テクノ,,,,,2014/4/28 5:37
